title,authors,average_rating,isbn,isbn13,publication_date,publisher
When Food Is Love: Exploring the Relationship Between Eating and Intimacy,Geneen Roth,4.04,0452268184,9780452268180,7/1/1992,Plume Books
A Pinch of Snuff (Dalziel & Pascoe  #5),Reginald Hill,3.84,0440169127,9780440169123,7/1/1990,Dell
Cygnet (Cygnet  #1-2),Patricia A. McKillip,4.07,0441014836,9780441014835,3/6/2007,Ace Books
The Bridegroom,Ha Jin,3.77,0099422174,9780099422174,10/4/2001,Vintage
The Mind Parasites,Colin Wilson,3.77,0974935999,9780974935997,10/1/2005,Monkfish Book Publishing
Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,3.92,1400052378,9781400052370,10/1/2004,Clarkson Potter Publishers
Hard Freeze (Joe Kurtz  #2),Dan Simmons,3.84,0312989482,9780312989484,9/15/2003,Minotaur Books
Phylogenesis (Founding of the Commonwealth  #1),Alan Dean Foster,3.82,0345418611,9780345418616,7/5/2000,Del Rey Books
De Kooning: An American Master,Mark Stevens/Annalyn Swan,4.11,0375711163,9780375711169,4/4/2006,Knopf Publishing Group
Shadow: Five Presidents and the Legacy of Watergate,Bob Woodward,3.72,0684852632,9780684852638,6/6/2000,Simon & Schuster
The System of Objects,Jean Baudrillard/James Benedict,4.01,1844670538,9781844670536,1/17/2006,Verso
Law of Enclosures,Dale Peck,3.65,067100347X,9780671003470,2/1/1997,Washington Square Press
Sgt. Rock: The Prophecy,Joe Kubert,3.47,1401212484,9781401212483,4/7/2007,DC Comics
The Chomsky-Foucault Debate: On Human Nature,Noam Chomsky/Michel Foucault/John Rajchman,3.94,1595581340,9781595581341,9/1/2006,The New Press
The Island of Doctor Moreau,H.G. Wells,3.73,0553214322,9780553214321,5/1/1994,Bantam Classics
Tramps Like Us  Volume 9,Yayoi Ogawa,4.32,1595324399,9781595324399,6/1/2006,TokyoPop
The Illustrated Man,Ray Bradbury,4.14,0553105574,9780553105575,1/1/1976,Bantam Books
Things Fall Apart: An Adapted Classic,Chinua Achebe,3.66,0130235016,9780130235015,4/17/2000,Globe
The Known World,Edward P. Jones,3.83,0060749911,9780060749910,6/15/2004,Harper
John James Audubon,Richard Rhodes,4.13,037571393X,9780375713934,4/11/2006,Vintage
Full Blast (Full #4),Janet Evanovich/Charlotte Hughes,3.83,0312983301,9780312983307,4/19/2004,St. Martin's Paperbacks
Arrow's Fall (Heralds of Valdemar  #3),Mercedes Lackey,4.19,0886774004,9780886774004,1/5/1988,Daw Books
The Golden Country,Shūsaku Endō/Francis Mathy,3.79,0804833370,9780804833370,8/15/2003,Tuttle Publishing
CSS: The Definitive Guide,Eric A. Meyer,4.0,0596527330,9780596527334,11/1/2006,O'Reilly Media
The Oresteia,Aeschylus/Ted Hughes,4.02,0374527059,9780374527051,9/4/2004,Farrar  Straus and Giroux
'Salem's Lot,Stephen King,4.02,0340770538,9780340770535,10/6/2010,Hodder & Stoughton Ltd
The Crying of Lot 49,Thomas Pynchon,3.69,0060931671,9780060931674,4/1/1999,Harper Perennial
Star Wars: Empire  Volume 5: Allies and Adversaries,Ron Marz/Jeremy Barlow/Brandon Badeaux,3.51,1593074662,9781593074661,2/28/2006,Dark Horse Books
New York 2000: Architecture and Urbanism Between the Bicentennial and the Millennium,Robert A.M. Stern/David Fishman/Jacob Tilove,4.44,1580931774,9781580931779,11/1/2006,The Monacelli Press
The Secret Swan,Shana Abe,3.67,0553582003,9780553582000,4/3/2001,Bantam
Survivor,Chuck Palahniuk,3.92,009928264X,9780099282648,8/3/2000,Vintage
On Basilisk Station (Honor Harrington  #1),David Weber,4.13,1416509372,9781416509370,7/26/2005,Baen Books
Code Orange,Caroline B. Cooney,3.63,0385732597,9780385732598,9/27/2005,Delacorte Press
Complete Essays 1  1920-25,Aldous Huxley/Robert S. Baker/James Sexton,4.33,1566633222,9781566633222,10/30/2000,Ivan R. Dee  Publisher
Orlando,Virginia Woolf,3.87,0141184272,9780141184272,9/28/2000,Penguin Classics
Sanctuary,William Faulkner,3.64,0679748148,9780679748144,12/6/1993,Vintage
Great Short Works of Fyodor Dostoevsky,Fyodor Dostoyevsky/Ronald Hingley,4.42,0060726466,9780060726461,7/6/2004,Harper Perennial Modern Classics
All I Really Need to Know I Learned in Kindergarten,Robert Fulghum,4.03,034546639X,9780345466396,5/4/2004,Ballantine Books
Spy Catcher: The Candid Autobiography of a Senior Intelligence Officer,Peter Maurice Wright/Paul Greengrass,3.73,0670820555,9780670820559,7/30/1987,Viking Penguin Inc.
Where the Red Fern Grows with Connections,Wilson Rawls/Rafe Martin/Borden Deal/Kemp P. Battle/Robert Bethke/Harold Courlander/Maya Angelou/Nicholasa Mohr/Dick Perry/John R. Erickson,4.37,0030547741,9780030547744,9/1/1998,Holt McDougal
The Little Mouse  the Red Ripe Strawberry and the Big Hungry Bear,Don    Wood,4.32,0859533301,9780859533300,9/1/1996,Child's Play International
It's All Too Much: An Easy Plan for Living a Richer Life with Less Stuff,Peter Walsh,3.85,0743292642,9780743292641,1/1/2007,Free Press
The Great Gatsby,F. Scott Fitzgerald/Alexander Scourby,3.91,1572702567,9781572702561,3/13/2002,Audio Partners
The Golden Tulip,Rosalind Laker,3.94,0385415605,9780385415606,9/1/1991,Doubleday
A Carl Hiaasen Collection: Stormy Weather  Tourist Season  and  Strip Tease,Carl Hiaasen/Edward Asner,4.45,0375410465,9780375410468,1/4/2000,Random House Audio
George Washington's Rules of Civility & Decent Behavior in Company and Conversation (Little Books of Wisdom),George Washington,4.08,155709103X,9781557091031,8/1/1989,Applewood Books
Complete Plays 1913–1920,Eugene O'Neill/Travis Bogard,4.1,0940450488,9780940450486,10/1/1988,Library of America
How to Stop Worrying and Start Living,Dale Carnegie,4.12,0749307234,9780749307233,5/23/1990,Vermilion
The Chronicles of Riddick,Alan Dean Foster,3.95,0345468392,9780345468390,12/18/2007,Del Rey Books
Narcissus and Goldmund,Hermann Hesse/Leila Vennewitz,4.2,0720608724,9780720608724,6/1/1993,Peter Owen Ltd
The Grapes of Wrath and Other Writings 1936–1941: The Long Valley / The Grapes of Wrath / The Log from the Sea of Cortez / The Harvest Gypsies,John Steinbeck/Elaine Steinbeck/Robert DeMott,4.41,1883011159,9781883011154,9/1/1996,Library of America
Kevin Trudeau's Mega Memory: How to Release Your Superpower Memory in 30 Minutes Or Less a Day,Kevin Trudeau,3.54,0688153879,9780688153878,8/16/2005,William Morrow Paperbacks
A Caribbean Mystery (Miss Marple  #10),Agatha Christie,3.8,0451199928,9780451199928,3/1/2000,Signet
After Many a Summer Dies the Swan,Aldous Huxley,3.75,1566630185,9781566630184,1/1/1993,Ivan R. Dee Publisher
The Hope (The Hope and the Glory  #1),Herman Wouk,4.15,0316954411,9780316954419,6/3/2002,Back Bay Books
The Fountainhead,Ayn Rand/Leonard Peikoff,3.87,0451191153,9780451191151,9/1/1996,Signet Book
The Print (Ansel Adams Photography  #3),Ansel Adams/Robert Hardy Baker,4.37,0821221876,9780821221877,6/1/1995,Little  Brown and Company
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,9780767910439,9/14/2004,Broadway Books
One L: The Turbulent True Story of a First Year at Harvard Law School,Scott Turow,3.67,0446673781,9780446673785,9/1/1997,Warner Books (NY)
Songs of the Humpback Whale,Jodi Picoult,3.2,0743431014,9780743431019,10/1/2001,Washington Square Press
Hunting the Hunter (On the Run  #6),Gordon Korman,4.21,0439651417,9780439651417,2/1/2006,Scholastic
Sweet Revenge,Lynsay Sands,3.99,0843946806,9780843946802,2/1/2004,Leisure Books
Artemis Fowl (Artemis Fowl  #1),Eoin Colfer/Nathaniel Parker,3.84,1400085918,9781400085910,4/6/2004,Listening Library
ヒカルの碁 18、番外編,Yumi Hotta/Yumi Hotta,4.11,4088732898,9784088732893,8/2/2002,集英社
Shadow of the Moon (Moon #5),Rebecca York,3.79,042520961X,9780425209615,6/6/2006,Berkley Sensation
The Players of Gilean (Dragonlance: Tales from the War of Souls  #2),Margaret Weis/Tracy Hickman/Aron Eisenberg/Jean Rabe/Richard A. Knaak/Douglas Niles/Paul B. Thompson,3.69,0786929200,9780786929207,2/1/2003,Wizards of the Coast
On Wine and Hashish,Charles Baudelaire/Andrew Brown/Margaret Drabble,3.93,1843910179,9781843910176,9/1/2002,Hesperus Press
Fear Nothing (Moonlight Bay  #1),Dean Koontz,4.0,0553579754,9780553579758,12/1/1998,Bantam Books
La danza de la muerte,Stephen King/Eduardo Goligorsky,4.34,8401321689,9788401321689,7/10/1986,Plaza & Janes Editores Sa
The Five People You Meet in Heaven,Mitch Albom,3.93,1401308589,9781401308582,9/23/2003,Hyperion
Cumbres borrascosas,Emily Brontë,3.85,8497644743,9788497644747,5/28/2006,Edimat Libros
Israel  My Beloved,Kay Arthur,4.16,0736903704,9780736903707,3/15/2001,Harvest House Publishers
"Myths of the Underworld Journey: Plato  Aristophanes  and the ""Orphic"" Gold Tablets",Radcliffe G. Edmonds III,3.75,0521834341,9780521834346,11/18/2004,Cambridge University Press
Air Gear  Vol. 2 (Air Gear  #2),Oh! Great/大暮 維人,4.04,034549279X,9780345492791,10/31/2006,Del Rey
Oliver Twist,Charles Dickens,3.86,0486424537,9780486424538,12/30/2002,Dover Publications
A Portrait of the Artist As a Young Man,James Joyce/Walter Hettche/Hans Walter Gabler/John Paul Riquelme/John Mitchel/Michael Davitt/Canon  Doyle/Pádraic Pearse/Ignatius of Loyola/Giovanni Pietro Pinamont/Walter Pater/Oscar Wilde/Douglas Hyde/Kenneth Burke/Umberto Eco/Hugh Kenner/Hélène Cixous/Karen Lawrence/Maud Ellmann/Bonnie Kime Scott/Joseph Valente/Marian Eide/Pericles Lewis/Jonathan Mulrooney/J.M. Synge,3.61,0393926796,9780393926798,5/1/2007,W. W. Norton & Company
The Snapper,Roddy Doyle,3.93,3596153034,9783596153039,9/1/2002,Fischer TB
The Church in Emerging Culture: Five Perspectives,Leonard Sweet/Brian D. McLaren/Erwin Raphael McManus/Michael S. Horton/Frederica Matthewes-Green/Andy Crouch,3.36,0310254876,9780310254874,10/19/2003,Zondervan
Object-Oriented Programming in C++,Richard Johnsonbaugh/Martin Kalin,4.07,0130158852,9780130158857,8/13/1999,Prentice Hall
Complete Short Stories,Graham Greene/Pico Iyer,4.17,0143039105,9780143039105,2/1/2005,Penguin Classics
Trials of Death (Cirque Du Freak  #5),Darren Shan,4.25,0316000957,9780316000956,1/18/2008,Little  Brown Books for Young Readers
From the Corner of His Eye,Dean Koontz/Stephen Lang,4.03,0553502697,9780553502695,12/26/2000,Random House Audio Publishing Group
Death Note  Vol. 3: Hard Run (Death Note  #3),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,4.43,1421501708,9781421501703,1/3/2006,VIZ Media LLC
Where We Are  What We See: The Best Young Writers and Artists in America,David Levithan,3.76,0439736463,9780439736466,5/1/2005,Push
American Tragedy: Kennedy  Johnson  and the Origins of the Vietnam War,David E. Kaiser,3.51,0674006720,9780674006720,1/30/2002,Belknap Press
The Big Box,Toni Morrison/Slade Morrison,3.95,0786812915,9780786812912,9/1/2002,Little  Brown Books for Young Readers
We were Soldiers Once... and young,Harold G. Moore/Joseph L. Galloway,4.31,0552150266,9780552150262,3/1/2002,Corgi
A History of Britain: The Fate Of Empire 1776-2000 (A History of Britain  #3),Simon Schama,4.06,0786868996,9780786868995,12/18/2002,Miramax Books
The Season: A Candid Look at Broadway,William Goldman,4.1,0879100230,73999768442,7/1/2004,Limelight
The Children of Noisy Village,Astrid Lindgren/Ilon Wikland/Florence Lamborn,4.29,014032609X,9780140326093,2/2/1988,Puffin Books
Dangling Man,Saul Bellow/Salman Rushdie,3.54,0140189351,9780140189353,10/1/1996,Penguin Classics
Tropic of Capricorn,Henry Miller,3.78,0802151825,9780802151827,1/13/1994,Grove Press
Solo,Jill Mansell,3.65,0747267456,9780747267454,9/2/2002,Headline Review
Comfort Me With Apples,Ruth Reichl,4.04,0965193772,9780965193771,1/1/2001,Random house
Jenny and the Jaws of Life: Short Stories,Jincy Willett/David Sedaris,3.74,0312306180,9780312306182,9/14/2002,St. Martin's Griffin
Lost World of Agharti: The Mystery of Vril Power,Alec MacLellan,3.84,0285633147,9780285633148,3/21/1996,Souvenir Press
El Coleccionista De Huesos (Lincoln Rhyme  #1),Jeffery Deaver,4.19,8466305130,9788466305136,6/1/2003,Punto de Lectura
The Origin of Species/The Voyage of the Beagle,Charles Darwin/Richard Dawkins,4.15,1400041279,9781400041275,10/14/2003,Everyman's Library
Metro Girl (Alex Barnaby  #1),Janet Evanovich,3.62,0060584025,9780060584023,9/27/2005,HarperTorch
Chosen But Free,Norman L. Geisler,3.31,0764225219,9780764225215,9/1/2001,Bethany House Publishers
El Escorpion: La Marca del Diablo: El Escorpion: The Mark of the Devil,Stephen Desberg/Enrico Marini,3.84,1594970009,9781594970009,10/1/2004,Public Square Books
Big Anthony and the Magic Ring,Tomie dePaola,4.1,0156119072,9780156119078,4/25/1979,HMH Books for Young Readers
We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,Harold G. Moore/Joseph L. Galloway,4.31,034547581X,9780345475817,11/23/2004,Presidio Press
The Nightmare Years: 1930-40 (20th Century Journey  #2),William L. Shirer,4.24,1841581224,9781841581224,3/5/2008,Birlinn
Cliffs Notes on Woolf's Mrs. Dalloway,Gary K. Carey,3.09,0764544578,9780764544576,12/12/2003,Cliffs Notes
The Star Wars Trilogy,George Lucas/Donald F. Glut/James Kahn,4.25,0345475828,9780345475824,8/31/2004,Del Rey
Darkest Fear (Myron Bolitar  #7),Harlan Coben,4.05,0752849190,9780752849195,11/8/2008,Dell
Dreamland (Dreamland  #1),Dale Brown/Jim DeFelice,3.9,0007109660,9780007109661,7/2/2001,HarperCollins Publishers Ltd
William Shakespeare’s: Twelfth Night (Shakespeare Retellings  #6),Bruce Coville/Kathryn Hewitt,4.11,0803723180,9780803723184,3/10/2003,Dial
Everville (Book of the Art #2),Clive Barker,4.03,0060933151,9780060933159,11/3/1999,HarperPerennial
The Major Works,Alexander Pope/Pat Rogers,3.87,019920361X,9780199203611,11/6/2006,Oxford University Press
The Heights of Courage: A Tank Leader's War on the Golan,Avigdor Kahalani,4.2,0275942694,9780275942694,2/28/1992,Praeger Publishers
Castle Diary: The Journal of Tobias Burgess,Richard Platt/Chris Riddell,3.82,0763621641,9780763621643,7/14/2003,Candlewick
The Hermeneutical Spiral: A Comprehensive Introduction to Biblical Interpretation,Grant R. Osborne,3.94,0830828265,9780830828265,12/1/2006,IVP Academic
The Hamlet,William Faulkner,3.87,0679736530,9780679736530,10/29/1991,Vintage International
Ghost in the Shell,Masamune Shirow,4.18,1845760182,9781845760182,2/25/2005,Titan
Abandonment,Kate Atkinson/Traverse Theatre,3.61,1854596012,9781854596017,4/1/2000,Nick Hern Books
Slouching Towards Bethlehem,Joan Didion,4.21,0374521727,9780374521721,10/1/1990,Farrar Straus Giroux
The Naked Ape: A Zoologist's Study of the Human Animal,Desmond Morris,3.95,0385334303,9780385334303,4/13/1999,Delta
The View from Castle Rock,Alice Munro,3.68,1400042828,9781400042821,11/7/2006,Alfred A. Knopf
Fifty-One Tales,Lord Dunsany/John Gregory Betancourt/Lin Carter,3.79,1587150794,9781587150791,4/1/2002,Borgo Press
The Twelfth Card (Lincoln Rhyme  #6),Jeffery Deaver,3.99,0743491564,9780743491563,5/1/2006,Pocket Star
Bullshit and Philosophy,Gary L. Hardcastle/George A. Reisch,3.68,0812696115,9780812696110,10/25/2006,Open Court
The Echo Maker,Richard Powers,3.38,0312426437,9780312426439,8/21/2007,Picador
Black Coffee (Hercule Poirot  #45.5),Charles Osborne/Agatha Christie,3.5,0312970072,9780312970079,9/15/1999,St. Martin's Paperbacks
The Da Vinci Code,Dan Brown,3.84,076792603X,9780767926034,3/28/2006,Broadway Books
Gulliver's Travels,Jonathan Swift/Robert A. Greenberg,3.57,0393099415,9780393099416,3/1/1980,W. W. Norton & Company
Diary of a Mistress,Miasha,4.34,0743281594,9780743281591,8/1/2006,Touchstone
Sweet Dreams  Mimi (Baby Einstein),Julie Aigner-Clark/Nadeem Zaidi,3.13,0786851155,9780786851157,4/1/2004,Disney Press
Euripides IV: Rhesus / The Suppliant Women / Orestes / Iphigenia in Aulis,Euripides/David Grene/Richmond Lattimore/William Arrowsmith/Frank William Jones/Charles R. Walker,4.21,0226307832,9780226307831,11/15/1968,University of Chicago Press
Mulliner Nights (Mr. Mulliner  #3),P.G. Wodehouse,4.11,1400079616,9781400079612,4/12/2005,Vintage
Juniper,Monica Furlong,4.16,0394832205,9780394832203,2/24/2004,Random House Children's Books
The Winthrop Woman,Anya Seton/Philippa Gregory,4.09,155652644X,9781556526442,9/1/2006,Chicago Review Press
'Salem's Lot,Stephen King,4.02,0965772411,9780965772419,10/17/1975,Doubleday
Evening,Susan Minot,3.37,0375700269,9780375700262,9/7/1999,Vintage
In Search of Memory: The Emergence of a New Science of Mind,Eric R. Kandel,4.1,0393058638,9780393058635,2/1/2006,W. W. Norton & Company
Saving Faith,David Baldacci,3.88,0446608890,9780446608893,9/1/2000,Vision
Miss or Mrs?/ The Haunted Hotel/ The Guilty River,Wilkie Collins/Norman Page/Toru Sasaki,3.79,0192833073,9780192833075,5/13/1999,Oxford University Press  USA
The Guardian,Nicholas Sparks,4.15,0446696110,9780446696111,4/1/2005,Grand Central Publishing
Demon Deathchase (Vampire Hunter D  #3),Hideyuki Kikuchi/Yoshitaka Amano,4.02,1595820310,9781595820310,1/18/2006,Digital Manga Publishing / Dark Horse
The Shaping of America: A Geographical Perspective on 500 Years of History: Volume 2: Continental America  1800-1867,D.W. Meinig,4.19,0300062907,9780300062908,2/22/1995,Yale University Press
The Case Of The Golden Key (Jigsaw Jones Mystery #19),James Preller/Jamie  Smith,3.88,0439426286,9780439426282,9/1/2002,Scholastic Paperbacks
The Man Who Listens to Horses,Monty Roberts/Lucy Grealy/Lawrence Scanlan,4.12,034542705X,9780345427052,11/28/1998,Ballantine Books
Elric of Melniboné (The Elric Saga  #1),Michael Moorcock,3.89,0441203981,9780441203987,7/15/1987,Ace Books
The Classic Ten: The True Story of the Little Black Dress and Nine Other Fashion Favorites,Nancy MacDonell Smith/Nancy MacDonell,3.43,0142003565,9780142003565,10/28/2003,Penguin Books
Tsubasa: RESERVoir CHRoNiCLE  Vol. 09,CLAMP/William Flanagan,4.28,0345484290,9780345484291,4/25/2006,Del Rey
The Soft Machine (The Nova Trilogy #1),William S. Burroughs,3.35,0802133290,9780802133298,1/13/1994,Grove Press
Sensual Phrase  Vol. 15,Mayu Shinjō,4.23,1421505606,9781421505602,8/1/2006,Viz Media
V.,Thomas Pynchon/Carlos Martín Ramírez,3.96,2020418770,9782020418775,1/2/2001,Contemporary French Fiction
Ten Days to Self-Esteem,David D. Burns,3.96,0688094554,9780688094553,3/17/1999,William Morrow Paperbacks
Let Down Your Hair,Jane B. Mason/Sarah Hines Stephens,3.83,043962939X,9780439629393,12/1/2004,Scholastic Paperbacks
The Odyssey,Homer/W.H.D. Rouse,3.76,0451527364,9780451527363,8/1/1999,Signet Classics
The Coal Tattoo,Silas House,4.04,0345480058,9780345480057,8/30/2005,Ballantine Books
"Unpainted to the Last: ""Moby Dick"" and Twentieth-century American Art",Elizabeth A. Schultz,4.28,0700607420,9780700607426,10/20/1995,University Press of Kansas
The Natural,Bernard Malamud/Kevin Baker,3.63,0374502005,9780374502003,7/7/2003,Farrar Straus Giroux
On Authorship,F. Scott Fitzgerald/Matthew J. Bruccoli/Judith S. Baughman,3.75,1570031460,9781570031465,9/1/1996,University of South Carolina Press
Jack & Jill (Alex Cross  #3),James Patterson,3.96,0446692654,9780446692656,8/1/2003,Grand Central Publishing
Romanticism,Hugh Honour,3.75,0064300897,9780064300896,8/15/1979,Westview Press
Homebody,Orson Scott Card,3.39,0061093998,9780061093999,1/25/1999,HarperTorch
No Country for Old Men,Cormac McCarthy,4.14,0375706674,9780375706677,7/11/2006,Vintage
Vixen 03 (Dirk Pitt  #5),Clive Cussler,3.84,055358944X,9780553589443,7/25/2006,Bantam
The Bridegroom,Ha Jin,3.77,0375724931,9780375724930,9/11/2001,Vintage
Bright Lights  Big Ass,Jen Lancaster,4.06,0451221257,9780451221254,5/1/2007,NAL
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,0072262788,9780072262780,1/24/2006,McGraw-Hill
The Caine Mutiny Court-Martial,Herman Wouk,4.12,0385514417,9780385514415,4/20/1954,Doubleday Books
The Botany of Desire: A Plant's Eye View of the World,Michael Pollan,4.06,0747563004,9780747563006,3/1/2006,Bloomsbury Publishing PLC
Spook: Science Tackles the Afterlife,Mary Roach,3.58,0393329127,9780393329124,9/26/2006,W.W. Norton & Company (NYC)
Interaction Ritual - Essays on Face-to-Face Behavior,Erving Goffman,4.05,0394706315,9780394706313,1/12/1982,Pantheon
Vincent Van Gogh: Portrait of an Artist,Jan Greenberg/Sandra Jordan,3.94,0440419174,9780440419174,1/14/2003,Yearling
Desperation / The Regulators: Box Set,Stephen King/Richard Bachman,4.07,067077605X,9780670776054,10/1/1996,Viking Adult
Selected Verse,Federico García Lorca/Christopher Maurer,4.43,0374528551,9780374528553,6/9/2004,Farrar  Straus and Giroux
The Hand of Chaos (The Death Gate Cycle  #5),Margaret Weis/Tracy Hickman,4.06,0553563696,9780553563696,11/1/1993,Spectra
Cigarettes Are Sublime,Richard Klein,3.81,0822316412,9780822316411,1/20/1995,Duke University Press Books
The Lion  the Witch and the Wardrobe (Chronicles of Narnia  #1),Hiawyn Oram/C.S. Lewis/Tudor Humphries,4.25,0060556501,9780060556501,9/21/2004,HarperCollins
To Collar a Killer (Jack and Jamie #3),Lee Charles Kelley,3.76,0060524952,9780060524951,11/30/2004,Avon
The Tale of Genji,Yoshitaka Amano/Murasaki Shikibu/Rachel Nacth/Anri Itō/Junichi Imura,4.05,1595820639,9781595820631,8/8/2006,Dark Horse Books
History of Political Philosophy,Leo Strauss/Joseph Cropsey,4.17,0226777103,9780226777108,11/30/1987,University of Chicago Press
Nine Stories,J.D. Salinger,4.19,0316767727,9780316767729,1/30/2001,Little  Brown and Company
Uncle Fred in the Springtime (Blandings Castle  #6),P.G. Wodehouse,4.24,1841591300,9781841591308,4/15/2004,Everyman
Freedom Evolves,Daniel C. Dennett,3.83,0142003840,9780142003848,1/27/2004,Penguin
Istanbul: Memories and the City,Orhan Pamuk,3.79,1400033888,9781400033881,7/11/2006,Vintage International
The Van (The Barrytown Trilogy  #3),Roddy Doyle,3.94,0140260021,9780140260021,3/1/1997,Penguin Books
Port Mungo,Patrick McGrath,3.32,1400075483,9781400075485,6/14/2005,Vintage
Confessions of a Shopaholic (Shopaholic  #1),Sophie Kinsella,3.64,0440241413,9780440241416,11/4/2003,Dell Publishing Company
Real Boys: Rescuing Our Sons from the Myths of Boyhood,William S. Pollack/Mary Pipher,3.83,0805061835,9780805061833,5/10/1999,Owl Publishing Company
Forever . . .,Judy Blume,3.62,033039780X,9780330397803,6/3/2005,Pan Childrens
McGraw-Hill's SAT I (McGraw-Hill's SAT I),Christopher   Black/Mark Anestis,3.67,007146235X,9780071462358,10/1/2005,McGraw-Hill Companies
Hawkes Harbor,S.E. Hinton,3.13,0765344726,9780765344724,10/1/2005,Tor Books
The Ghost in the Machine,Arthur Koestler,4.0,0140191925,9780140191929,12/7/1990,Arkana
The Ships of Earth (Homecoming Saga #3),Orson Scott Card,3.54,0812532635,9780812532630,1/15/1995,Tor Books
Mythology: Timeless Tales of Gods and Heroes,Edith Hamilton,4.0,0446607258,9780446607254,8/1/1999,Warner
To Win a Nuclear War: The Pentagon's Secret War Plans,Michio Kaku/Daniel Axelrod,3.94,0896083217,9780896083219,7/1/1999,South End Press (Boston)
The Invisible Child,Katherine Paterson,4.27,0525464824,9780525464822,12/31/2001,Dutton Juvenile
Something Borrowed,Rebecca Hagan Lee,4.14,0786500735,9780786500734,2/1/1995,Diamond/Charter
Ukraine,Sarah Johnstone,3.91,186450336X,9781864503364,7/1/2005,Lonely Planet
John Grisham Value Collection: A Time to Kill  The Firm  The Client,John Grisham/Michael Beck/Blair Brown/D.W. Moffett,4.5,0739312642,9780739312643,6/1/2004,Random House Audio
Sons (House of Earth  #2),Pearl S. Buck,3.84,1559210397,9781559210393,1/1/2005,Moyer Bell and its subsidiaries
The Great and Secret Show (Book of the Art #1),Clive Barker,4.05,006093316X,9780060933166,11/3/1999,HarperPerennial
Yakitate!! Japan  Volume 1,Takashi Hashiguchi,3.97,1421507196,9781421507194,9/12/2006,VIZ Media LLC
The Midwife's Apprentice,Karen Cushman,3.72,006440630X,9780064406307,8/16/1996,HarperTrophy
Don Quixote,Miguel de Cervantes Saavedra/John Rutherford,3.87,0140449094,9780140449099,1/30/2003,Penguin Books
Bloodlines,Richard Matheson/Mark Dawidziak,4.02,1887368884,9781887368889,1/1/2007,Gauntlet Press
Identity Crisis,Brad Meltzer/Rags Morales/Michael Bair/Joss Whedon,4.04,1401204589,9781401204587,8/16/2006,DC Comics
The Adventures of Sally,P.G. Wodehouse,3.78,1426423705,9781426423703,5/29/2008,BiblioLife
The Changing Status of the Artist,Emma Barker/Nick Webb/Kim W. Woods,3.93,0300077424,9780300077421,3/1/1999,Yale University Press
Under the Influence: The Disinformation Guide to Drugs,Preston Peet,3.64,1932857001,9781932857009,1/1/2004,The Disinformation Company (NYC)
The Magus,John Fowles,4.05,0316296198,9780316296199,1/4/2001,Back Bay Books
Hoot,Carl Hiaasen,3.82,0440421705,9780440421702,3/14/2006,Yearling Books
The Cat in the Hat,Dr. Seuss,4.17,0679891110,9780679891116,11/11/1997,Random House Books for Young Readers
Amnesia Moon,Jonathan Lethem,3.49,015603154X,9780156031547,8/8/2005,Mariner Books
The Eternity Code (Artemis Fowl  #3),Eoin Colfer,4.04,0786856289,9780786856282,5/3/2005,Miramax
Sense and Sensibility,Jane Austen/Claudia L. Johnson,4.07,039397751X,9780393977516,10/30/2001,W. W. Norton & Company
Oath of Swords (War God  #1),David Weber,4.01,1416520864,9781416520863,12/26/2006,Baen
The Joy Luck Club,Amy Tan,3.92,0143038095,9780143038092,9/21/2006,Penguin Books
Paradise Reclaimed,Halldór Laxness/Magnus Magnusson/Jane Smiley,3.77,0375727582,9780375727580,4/2/2002,Vintage
The Time Traveler's Wife,Audrey Niffenegger,3.97,1596921536,9781596921535,10/1/2005,MacAdam/Cage
Astronomy Today,Eric Chaisson/Steve McMillan,3.99,0131445960,9780131445963,7/26/2004,Prentice Hall
Natural Theology: Comprising Nature & Grace by Professor Dr Emil Brunner & the Reply No! by Dr Karl Barth,Karl Barth/Emil Brunner/Peter Fraenkel,3.72,1592441122,9781592441129,12/1/2002,Wipf & Stock Publishers
Zen in the Art of Writing: Essays on Creativity,Ray Bradbury,4.1,1877741094,9781877741098,8/1/1993,Joshua Odell Editions
Fullmetal Alchemist  Vol. 10,Hiromu Arakawa/Akira Watanabe,4.6,1421504618,9781421504612,11/21/2006,VIZ Media LLC
The Laughing Jesus: Religious Lies and Gnostic Wisdom,Tim Freke/Peter Gandy,3.96,140008279X,9781400082797,6/27/2006,Harmony
Imperial Life in the Emerald City: Inside Iraq's Green Zone,Rajiv Chandrasekaran,4.02,1400044871,9781400044870,9/19/2006,Knopf
The Modern Prince: Charles J. Haughey and the Quest for Power,Justin   O'Brien,3.5,1903582415,9781903582411,4/28/2003,Merlin Publishing
Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,3.15,0805431578,9780805431575,5/15/2005,B Books
Ghosts and Grisly Things,Ramsey Campbell/Jack Dann/Dennis Etchison,3.73,0312867573,9780312867577,10/11/2001,Tor Books
